BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
81,EMPTY,EMPTY,GRACKLE,KESTREL,EMPTY,EMPTY,Empty,GRACKLE,Starlings,empty,Empty,Empty,3,100,1,0,1,12,
82,EMPTY,GRACKLE,KESTREL,KESTREL,EMPTY,EMPTY,MICE,DOWN,Down,grackle,KESTREL,Failed,12,75,3,1,4,10,
83,EMPTY,FAIL,GRACKLE,EMPTY,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,Failed,Empty,Empty,18,57.1,4,3,7,12,
84,FAIL,GRACKLE,KESTREL,KESTREL,EMPTY,EMPTY,Empty,STARLING,KESTREL,KESTREL,Failed,Empty,13,66.7,4,2,6,12,
85,EMPTY,FAIL,EMPTY,EMPTY,FAILED,GRACKLE,FAILED,EMPTY,Grackles,KESTREL,KESTREL,Failed,3,33.3,2,4,6,12,
86,EMPTY,EMPTY,FAILED,EMPTY,EMPTY,KESTREL,KESTREL,KESTREL,Failed,KESTREL,Empty,Kestrel (2),11,57.1,5,2,7,11,
87,EMPTY,KESTREL,FAILED,GRACKLE,FAILED,GRACKLE,GRACKLE,GRACKLE,Grackles,KESTREL,KESTREL,Failed,14,50,3,3,6,12,
88,GRACKLE,GRACKLE,GRACKLE,GRACKLE,STARLING,KESTREL,GRACKLE,STARLING,Grackles,grackle,Empty,Empty,5,100,1,0,1,12,
89,GRACKLE,GRACKLE,STARLING,GRACKLE,GRACKLE,EMPTY,KESTREL,KESTREL,Failed,Starling,Failed,Failed,5,40,2,3,5,12,
90,GRACKLE,GRACKLE,FAILED,KESTREL,DOWN,MOVED,GRACKLE,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,21,85.7,6,1,7,10,
91,EMPTY,KESTREL,EMPTY,KESTREL,FAILED,EMPTY,STARLING,FAILED,Grackles,KESTREL,Failed,Failed,10,42.9,3,4,7,12,
92,KESTREL,GRACKLE,GRACKLE,GRACKLE,EMPTY,GRACKLE,GRACKLE,STARLING,Grackles,KESTREL,Bees,KESTREL,12,100,3,0,3,12,
93,EMPTY,EMPTY,GRACKLE,DOWN,DOWN,MOVED,Unknown Bird,EMPTY,Empty,KESTREL,KESTREL,KESTREL,12,100,3,0,3,9,
94,EMPTY,EMPTY,KESTREL,KESTREL,EMPTY,EMPTY,Empty,BROKEN,Down,empty,Empty,Empty,4,100,2,0,2,10,
95,EMPTY,KESTREL,DOWN,DOWN,DOWN,MOVED,Empty,STARLING,Empty,empty,Grackle,Empty,5,100,1,0,1,8,
96,TREE SWALLOW,GRACKLE,EMPTY,FAILED,EMPTY,GRACKLE,Empty,EMPTY,Empty,KESTREL,KESTREL,Failed,7,50,2,2,4,12,
